Hemoglobina,,Betrayer,TRKKBRJ12903CED431
Mychael Danna,,Am I Late,TRKKBEW128F14AD1CA
Eric Johnson,guitar virtuoso;guitar;Miodzio;texas guitar vibe,Alone Together,TRKKBPE128EF35D232
The Humpers,,Loser's Club,TRKKBSS128F428B78F
Jacques Brel,chanson populaire francaise;JBrel;Mundo,Le Chevalier Aux Miroirs,TRKKBWR128F1495A64
Kostia,Piano - quiet;narada;cool and relaxing music;kostia;leo perez;Leo Perez Piano Pictures,First Touch,TRKKBQM128F1454C01
Straightaway,french;france;pop punk;francais;meh,Democracy Of Spreading Poverty,TRKKBCR128F92E0BA6
Royal Liverpool Philharmonic Orchestra/Libor Pesek,,Symphony No. 9 in E minor B 178 (Op. 95), 'From the New World': II.      Largo,TRKKBIP128F426D067
Def Jef,,Get Up 4 the Get Down,TRKKBQR128EF362898
David Sanborn,,Carly's Song (Album Version),TRKKBWP12903CC4975
My Sad Captains,,Change Of Scenery,TRKKBVR128F9329843
Bridges and Powerlines,,A Slight Right,TRKKBFE128F930DBF9
Jack Dangers,,Plates of Sound,TRKKBZV128F931693F
Penumbra,symphonic metal;pop opera;french;Gothic Metal;romantic horror rock;lacrimaindarkness;Female-fronted Metal;female fronted band;horror rock;dark cabaret;dark folk;Dark metal;brilliant;dark;female vocalists;darkwave;france;Female fronted metal;dark ambient;goth;metal;mistagged;Gothic;arnd,Die Jesu,TRKKBSL128F42ABA44
Lazard,techno trance,I Am Alive,TRKKBTC128F4286DF4
Moss,,Admiration,TRKKBQM12903CF68AA
Matt Borghi,Eremuse - ntricato vortice-,Red Sky Morning,TRKKBGA128F931D149
Cinema Bizarre,glam rock;Cinema Bizarre;rock;german;pop rock;I love this song;pop;emo;powerpop;dance pop;german rock;loved tracks;glam;eurovision 2008;Eurovision;Eurovision Song Contest;glam-pop;preselection;ESC;sexy;Cinema Bizzare;visual kei;kai21492;gothic lolita;love of my life;music for gay people;Anal;priprava-rock;stripper music;priprava-music;music i tried but didnt like;ipop;german favourites;valsixx;like the lyrics so muuuch;shit only a fag would listen to;awesomely hot;forever in my heart;universal opfer;anal pop;sevdiklerim;cinema Bizarre - forever or never;I-Pop;good piece of shit;crunkcore;cinema bizarre german rock;Love;power pop;hard rock;electropop;electronic;crossover;synthpop;alternative rock;rnb;electro;germany;punk rock;favorites;Favorite;sex;gay pop;not emo;Visual Rock;All time favourite;orgasm;melodic rock;Love this song;My Best;Elettronica;Pop-punk;Rock Pop;industrial;Ulubione czarnej;Thomas Troelsen;xD;not visual kei;The Way We Are;cb;cinemabizarre;Remee,Forever Or Never,TRKKBES128F4262B64
David Francey,,Paper Boy (Live),TRKKBZS128F92FC7F8
The Seeds,Garage Rock;psicodelia;garage noize,I Can't Speak,TRKKBKQ128F92FAD48
Neon Hunk,prda,Hampstermaster,TRKKBSL128F92FD9F2
Billy Boy Arnold,blues;rhythm and blues;blues rock;harmonica;love and loss;shim sham shimmy;blues harp boogie,I Ain't Got You,TRKKBHQ128F92DB8B8
Uman,,Heliopolis,TRKKBJO128F92F79F2
Fiend,,Bout That Action,TRKKBCT128F4280760
Dana Gillespie,,Play With Your Poodle,TRKKBRF128F9329082
LOS TIGRILLOS,,Conozco a los dos,TRKKBLD128E07867BD
Steel Pulse,reggae;Steel pulse;roots reggae;70s;summer;british;deadcalmnervesstellthrobpulsealbertstillsteetstyleecleansteel;rastaman vibrations;male vocalist;2giveme5;steel pulseee;reguera;sun is shining;roots;club;seen live;yellow night;planet;sound system;pablo group favourite;pantz64;rootzz,Sound System,TRKKBHJ128E0791BBD
Jad Fair & Daniel Johnston,,Happy Talk,TRKKBOS128F14B0AF3
Cattle Decapitation,death metal;deathgrind;grindcore;goregrind;death grind,Chummified,TRKKBPM128F934B46F
50 Cent,grimey,The Mechanic,TRKKBIK128F42A1340
Julio Iglesias,,Anima Ribelle,TRKKBZP128F4279B2C
Otis Spann,,She's Out Of Sight,TRKKBEW128F42AFC62
Rachael Yamagata,cover;Soundtrack;indie;elizabethtown;good covers;melancholy;female vocalists;covers;cover songs;piano;indie rock;pretty;movie soundtrack;Awesome Covers;jesus;Paste;not too jangly;faith;ei se ole niin helppoa;my 500 essential songs;hotel cafe;emocional;favorites 2006;soundtranck;Mellow;Love;female vocalist;pop;alternative;indie pop;favorites;american;beautiful;chill;relax;female;alternative rock;Progressive rock;song noir;singer songwriter;guitar;rock,Jesus Was a Crossmaker,TRKKBUU128F42AE857
Five Deez,,plasma avenue instrumental,TRKKBUK128EF33FF5E
Fatback Band,electro funk;FATBACK -ON THE FLOOR;p-funk;drjazzmrfunkmusic;kmem7200;notting hill carnival 2008;d-train 1;p-funk stylez;obscure yet streamable funk;obscure yet streamable tracks;carnival 2006 notting hill;i am a party girl here is my soundtrack;soulnetwork-co-uk;Mix 1;funky;funk;lovedtrack;klaus;Fatback;Fatback is Back;Disco;70s;xspf2tag;umlaute;mark-test2,On the Floor,TRKKBQH128F932906E
Bo Kaspers Orkester,jazz;swedish;pop;svenskt;contemporary jazz;rock;acid jazz;late night;00s;jazzy pop;bo kaspers orkester;Neuentdeckung;ezistetszik;Tycker om;web-found,Köpenhamn,TRKKTUE128F92F248A
Counting Crows,rock;alternative rock;counting crows;Love;alt. rock;melancholy;alternative;sad;sadness;mild rhythmic syncopation;acoustic rhythm piano;elises favourite artists;mixed acoustic and electric instrumentation;acoustic rhythm guitars;CountingCrows;location location location;seaside;the ultimate playlist;Other Great Tracks;Left of the Dial;ciekawe;Lily;stone;love-sickness emergency-care-kitt;crush;coffee break;Lyrical Goosebumps;placecore;US groups;jangly american guitar pop;my other radio station;super rica y buena onda;Noah Eatons All-Time Favorite Songs;Sentimental Favorites From The 2000s;Emotional Adult Rock;strolling down the sidewalk music;a long red glare;private stashshsh;days since a lost time accident;coble;car concert;lucy los angeles;cello-violin;major key tonality;pop rock qualities;a subtle use of vocal harmony;florida;great lyrics;00s;mixes;driving music;relax;live;Favourites;pop rock;favorites;emo;singer-songwriters;pop;americana;acoustic;chillout;soft rock;Mellow;pflicht;halftoned singles club;gotanygoodmusic;upcoming;lovelovelove;personal favourites;places;Good Rock;easy;top;song;singalong;Caroline;golden oldies;seen live;counting crows - miami;france;OOP;songs about cities;Elliot Yamin;90s;I could listen to this song forever;male vocalists;buitencategorie;Sam20100920,Miami,TRKKTHM128F42B7815
Busy Signal,dancehall;reggae;Hip-Hop;00s;ragga;excellence;Fiyah;acoustic rhythm guitars;minor key tonality;a subtle use of vocal harmony;prominent percussion;string section beds;classic rhodes sound;a reggae feel,Jail,TRKKTRL128F933DE30
Viktoria Tolstoy,jazz;swedish;pop;electronic;piano;vocal;female vocals;saxophone;russian;vocal jazz;bass;orchestra;mathcore;jazz piano;strange;tabla,Silent Rhapsody,TRKKTLP128F9327D90
The Manhattans,love song;Manhattans - Love Song;rnb;melancholy;slow jams;soul;DisCompany;durock music;aLLLLLL gIRLLLLLLL;The Manhattans;DJPMan-loved-tracks;love songs;sec lovers,We Never Danced To A Love Song,TRKKTZX128F4267C39
P. Diddy,Hip-Hop;hip hop;colorfull,Making It Hard Featuring Mary J. Blige (Amended Album Version),TRKKTSH128F9343F08
Dreem Teem vs. Neneh Cherry,,Buddy X '99 (Dreem House Edit),TRKKTOM128E0782382
The Spectacular Fantastic,,Alcohol,TRKKTWO128F9323030
Keith Sweat,rnb;intro;keith sweat;r and b;Kad,Intro,TRKKTNX128F4238497
Lonnie Johnson,,When I Was Lovin' Changed My Mind Blues,TRKKTPK128F421EFC0
Bronn Journey,,Have Yourself A Merry Little Christmas,TRKKTHK12903CE491A
Deep Purple,hard rock;classic rock;rock;70s;deep purple;cover;Psychedelic Rock;heavy metal;Progressive rock;Deep Purple family;oldies;proto metal;british rock;classic hard rock;60s British;Traditional Metal;British Psychedelia;british progressive rock;60s british rock;proto-metal;kentucky woman;British Psychedelic Rock;Hammond;british heavy metal;british hard rock;rock 70;british 60s;guitar;driving really fast with friends;Progressive;gittis;lammis;classic british heavy metal;british;Classic British Hard Rock;60s british hard rock;classic metal;heavy rock;Majors beloved FM;driving really fast;Rod Evans;MusicalMessRadio;candidate;old school hard rock;Basses that I love;deep puprle;tnphp-dec27;cliche classic;not the original;early hard rock;heavy roll;mk I;covers;classic;pop;blues rock;Rock and Roll;guitar virtuoso;vocals;rock n roll;early metal;catchy;cover song;my favourite songs;diamond;2tags;two word song titles;60's;45;liked;neil diamond cover;out of genre covers;early heavy metal;metal;60s;British Metal;Acid Rock;bytefm;deepest;Deep Purple-Takki;deep rock;deep purple tracks;Mooks;psicodelia,Kentucky Woman,TRKKTQL12903CC3E3A
Kool Moe Dee,rap;old school;ElectlitchdubhoP Explicit;ElectglitchdubhoP;Hip-Hop;hip hop;80s;golden age;old school rap;1989;Old School Hip Hop;memories;slowjamz;teddy riley;chill906;Party Hip-Hop;needleontherecord,They Want Money,TRKKTVK128F42A22C5
Jaromír Nohavica,,Divoci Kone,TRKKTAN128F92D4A40
Fran Perea,,El rincón de la alegría,TRKKTZQ128F4231EAC
RuPaul,,Put Some Weight On It,TRKKTVU128F9305724
The New Duncan Imperials,,Turkey Neck,TRKKTOK128F429327F
Parken,pop;2008,Jag har varit vilsen, Lisa,TRKKTXG12903CC8D04
Lori Meyers,indie;spanish indie pop;viajar;Pop-Rock;rock;indie rock;favorites;spanish;temazo;Bepop;chet;viaje;canta;manifiesto19;rich spanish indie pop;MissBlueBean-Treasures;MissBlueBean-Rocking around;pablo2;alternativaol fonsinhodj;los planetas;favorito;spanish indie;Spanish Rock;00s;Favorite;pop rock;alternative;britpop;metal;indie pop espanol;Preferencias,El Secreto Mejor Guardado,TRKKTDJ128F427E002
Bruna Caram,female vocalists;jazz;ambient;pop;brazil;brasil;relaxing;brazilian;mpb;Novas descobertas;O meu brasil;NerSom;pra acalmar,Um Blues,TRKKTCJ128F425690C
Extreme,rock;hard rock;90s;classic rock;Extreme;hair metal;funk metal;pop;heavy metal;nuno bettencourt;guitar;acoustic;blues rock;glam rock;hole hearted;Glam Metal;80s;party;alternative;Funk Rock;pop rock;funk;nostalgia;hair band;oldies;metal;1991;Beavis and Butt-head;102 bpm;Gary Cherone;easyrock;TheJawnFavorites;body parts;acustico;R'N'R;metal edge;Best Songs of the 90s;driving song;90s hard rock;riff;unplugged guitar;tavfm;the word heart;universal soundtrack;the word hole;KCDR;Tema Increible;distinctively 90s;tasty guitar licks and riffs;MFBR;holy shit that is CRISP;vocals male;Extreme - Hole Hearted;c pop s;theyre coming to take me away hehee;get the funk down;english;90s Rock;male;american;Favorite;Favourite Songs;guitar virtuoso;vocals;rock n roll;country rock;us;USA;male vocalists;greatest songs ever;g;americana;wake up;Awesome Guitar Jams;90's;all the best;easy listening;motivate;guitar heros;Powerful Rock Songs - Collection 1;party songs;1990;all time fave;anatomy;heavy;Kevin Figueiredo;gray cherone;Pat Badger;Hard-Rock;the best;teletech;80s rock;lieblinge;IronMan Picks;filmmusik,Hole Hearted,TRKKTXF128F1485D94
Lonnie Donegan,folk;Skiffle,Lazy John,TRKKTWS12903CABCDC
Blumentopf,german hiphop;hip hop;deutscher hiphop;Hip-Hop;deutsch;dth;Rap  Hip-Hop;damn;tpfe am start,Magic Disco,TRKKTDR128F92FD2D1
2raumwohnung,pop;german;electronic;female vocalists;deutsch;my spring songs;germans can be sexy;2007;Chicks Rock;deutschland;Love it;deutschsprachig;sexual;electro-pop;00s;chill;indie pop;singer-songwriter;sexy;nice;Meine Heimatlieder,Nimm Sie,TRKKTVQ128F149AC3C
Battle,rock;indie;cool find;disco radio;watch this space;rock radio;drive;brilliant;Radio;dance rock;british;Disco;amazing;UK;indie rock;alternative;dance;favourite,Takuya,TRKKTMG128F429A3E0
Voodoo Circle,heavy metal,Angels Will Cry,TRKKTVH128F92DD310
Chloé,,Suspended (Broke Remix),TRKKTSU128F4276682
Prefuse 73,electronic;idm;trip-hop;Hip-Hop;hip hop;electronica;asskicking;funky shit;jazzanova;dead good;top rated tracks;trip-hip-hop;adrien wayne;loved radio;hiptronics;fuck your shit up;schickendes;Hip HopRap;electronic2;don m;metro downtempo;chopped lyrics;Love;chillout;ambient;indie;House;experimental;downtempo;test;beats;glitch;essential;turntablism;urban;experimental hip-hop;heard on Pandora;slix like;winter;2001;Emotional Adult Rock;Sentimental Favorites From The 2000s;Noah Eatons All-Time Favorite Songs;Alternative In The 2000s;my set,Point to B,TRKKTWB128F9309951
Pete Townshend,short;Classical;wistful;atmospheric;haunting;quiet;the who;Quadrophenia;sound effects;very short songs;lonesome;the word record;one-word titles;uncharaceristic,Recorders,TRKKTZB128F933F19C
Ofra Haza,,After the Holidays,TRKKTRQ128F42805DA
Bow Wow Wow,post-punk;female vocalists;80s;pop;80's;LOVE LOVE LOVE;bristish;dogs dogs dogs;80s echoes;new wave;steveadamsfm;steveadams fm;very good time,Chihuahua,TRKKTUJ128F425BCA1
Yeah Yeah Yeahs,indie;indie rock;female vocalists;alternative;rock;alternative rock;yeah yeah yeahs;sexy;new york;female vocalist;00s;post-punk;Garage Rock;punk;favorites;american;cool;female;Awesome;riot grrrl;greys anatomy;2006;pop;indie pop;female vocals;Favourite Songs;amazing;Love;art punk;favorite songs;NYC;yeah;Garage Punk;animals;USA;punk rock;lion;karen o;Favourites;good;gold;favourite;Driving;dance;classic;chill;glam rock;garage;2000s;love at first listen;loved;Favorite;party;weird;fun;Energetic;favorite yyy songs;loved tracks;best of 2006;Retro;americana;fav;catchy;Love it;Rock and Roll;america;<3;indie punk;rock out;rockin;dance dance dance;art rock;Good Stuff;Girl Rock;Favorite Artists;chick rock;Favorite Bands;yyy;kiss and call me;Grunge;experimental;funky;great;Makes Me Smile;britpop;yeah yeah yeahs tracks;electronic;yeah yeah yeah;indietronica;summer;favorite tracks;happy;Grey's Anatomy;loud;acoustic;chillout;american rock;favorite song;absolutely essential;glorious,Gold Lion,TRKKTYS128F146D626
Allan Sherman,,Mononeucleosis (Album Version),TRKKTRO128F1477D6D
Bonnie Guitar,,Here We Lie,TRKKTSQ12903CB5D4F
Fukkk Offf,electronic;electronica;electro;Smartbomb;Shadoian;geliebt;electromuthafucka;superfuck;Showbox;electronic bass;electro-house;ibiza;Rolling;Ecstasy;massive;yeah;club;dance;House,The Bottom,TRKKTFW128F92EF124
The Doobie Brothers,rock;classic rock;70s;soft rock;Southern Rock;pilfered from friends;what a good song;The Doobie Brothers;Pop Life;Boogie Rock;albums I own;70's;poprock;album rock;instrumental;classic;tnphp heavy weather,Clear as the Driven Snow,TRKKTRW128F42707FD
Graveworm,black metal;Symphonic Black Metal;melodic black metal;Melodic Death Metal;Gothic Metal;italian;never enough;Best of best;melodic blast;uwielbiam;Noch kaufen;garten metal;Heavy Metal Death Metal Doom Metal;false lyrics;Black- and Powermetal;solo lo mejor;music for Devil May Cry 4;Fav - Graveworm;growl;Graveworm;best song;fav;death;Female fronted metal;Power metal;metal;music for sleep;italia;children of bodom;gartenkunst-loved tracks,Never enough,TRKKTXN128F426ACC8
Super Cat,dancehall;reggae;favorites;Like;roots reggae;reggae roots;jamaican;don dada;bau242;super cat;jamaica;Perfect Disco;gangsta dancehall,Don Dada,TRKKTOE128F4262952
Seguridad Social,,Culo De Mal Asiento,TRKKTIW128E0795B5E
Federation featuring El Dorado Red,,What Is It (explicit) (Feat. El Dorado Red),TRKKTWY128F427B057
Magnitude 9,Progressive metal;neo-classical metal,Far Beyond Illusion,TRKKTZE12903CFB250
Angelzoom,female vocalists;relaxing;ethereal;darc divas;ebm;Female Voices;interesting;akirahoshi dark,The world between,TRKKTNB128F426ABAF
Stray,,Lonely Road,TRKKTLH128F92F93B5
Neikka RPM,,Feel Your Soul (Sanctified),TRKKTOM128F92FB988
Flávio José,Forro,Minha Prenda,TRKKRNN128F9342E09
Beach House,dream pop;indie;beautiful;indie pop;female vocalists;Dreamy;lovely vocals;atmospheric;ocean waves breaking around us;indie rock;sunset;rock;favorites;HappySad;sweet;beach house;j;lindo;loverly;cheer;Retro;best of 2010;Masterpiece;Perfection;magic;ohmondieu;I like;bon iver;Uplifting;nice;Fernando;electronic;alternative;downtempo;epic;make this song go on forever;chill;peace music;Favorite;well produced;cute;viento;mushy;fleet foxes;Rockstars;fuck i cannot explain this tag;sweeteclek;letsmakelove;Tropical Pop;TEMON;586;sing this to me and ill follow you anywhere;gute Stimme;VAWFEN castle;Aggroschlager;BIRP;nmml;broderick vs;srch;2010 classics;leapsandLowry;ilovejustine;i-love-you-justine;thinking-about-justine;super dreamy;amordavida;heart thievery;der moment;beach goth;Syo;music I can flail my arms and dance to;happinessonlyrealwhenshared;Micha Maat;weiterverfolgen;Female rebel society;day end;inspiring;favorite song;lovely;FUCKING AWESOME;Mountains;melancholy;melancholic;Baltimore;freak folk;mysterious;american;Awesome;Sleep;singer-songwriter;pop;night;chillout;Driving;wood;Songs to cry to;nochmal;songs that remind me of people;reassuring;3,Take Care,TRKKRNJ12903D08282
Dinu Lipatti,,Waltzes (1997 Digital Remaster): No. 8 in A flat major, Op. 64/3,TRKKRTB128F4267C13
Obie Trice,rap;detroit;driving at night;urban;Aftermath;Dope;Obie Trice;real talk;awareness;ob trice;shady records;produced-by-eminem,Wake Up,TRKKRXS128F147E276
Åge Aleksandersen,,Lille søster,TRKKRIH12903CEC743
So Me,electronic,La Decalcomania,TRKKRYB128F424943F
Jeremy Messersmith,rock,Great Times,TRKKRCE128F92EA682
dark shadows,,Barnabas' Rampage (Extended Version),TRKKRTQ128F148436F
Coheed and Cambria,Progressive rock;rock;alternative rock;coheed and cambria;emo;coheed;alternative;indie;Progressive;favorites;Awesome;post-hardcore;Favourites;indie rock;Delirium Trigger;Adam Zivojnovich;post-nerdcore;adam sapphire;the fall of earth;naberius;rolecore;the fusion of magic and science;james hope;Shabutie;00s;screamo;metal;classic rock;hard rock;emocore;prog rock;punk rock;Claudio rocking well;Binocore;Palace of Askin Hills;singer-songwriter;emo-prog;colour lights;cribadit;Obvious;Progressive metal;i am more emo than your mom;briliant songs;Autopilot Off;babes in toyland;Some Damn Good Music;indie collection of songs;indie for the most part;morgens;Trigger;emoxcore;Music From the OC;oh so dancy;Sommer;waltz;heavy;Driving;trance;punk;pop;upbeat;boysies;w00t ftw;sus;prog indie post alternative;360shift;dredge like;Del Trig;Popkes Screamo;awesome Coheed;shiznaydickiwow;rock A lot;reptillery;falling down the rabbit hole;play along;i m not quite how i should be;Favorite songs ever;Faves;sad songs;best song;at the drive-in;epic;The Second Stage Turbine Blade;addictive;Punk-Rock;Nu Metal;Emo rock;emotional;Favourite bands;lyrical;progressive trance;favorite songs;Favourite Songs;amazing;live;loud;christian rock;fast;sci fi rock;you,Delirium Trigger,TRKKRTM128F428254D
Super Furry Animals,indie;welsh;rock;indie pop;experimental;Mix of the month - june 2006;bloody beautiful;solemn rock;super furry goodness;seven virtues and seven sins;Good new music where is it from;psychedelic dream;Welsh pop;miss you;mind-blowing;Favorite Super Furry Animals Songs;Cymru;cymraeg;Experimental pop;Brit indie;odd;indie-pop;freaky;Tag;alternative;psychedelic;chillout;Love;another planet,Atomik Lust,TRKKRNX128F92F9E54
Mark Wonder,,Sad story,TRKKROY128F426427B
Louis Prima,swing;jazz;italian;oldies;louis prima;50s;jazz vocal;Big Band;napoli;crooners;heard on lastfm;recommended to me;Love it;swinging;vocal jazz;saxaphone;buona sera;martinis and bikinis;top 2000;capri in the summer;Italy;old jazz;treme;personal favourites;New Orleans;start dancing;easy listening;my recommendations station;great;60s;suki in the mood;music for me;blues;VVG;classic;pop;Louis Prima Buona Sera;italien;the smokey life;mona lisa;vecie labie;mes chansons;dance baby dance;new stuff that should become my old stuff;swinging shit;stompers;dancing in the kitchen;it dont mean a thing if it aint got that swing;maybebuy;engagement;papa;Turtles;easyrock;sing sing sing;RRCFN;golden oldies cwcafe;crooner cwcafe;jazz cwcafe;la prima colazione;sf romantic;Suki Cleaning;nice dancing;music for H;big band1;rocknroller;sukimuki;repertory;Swazz;wondo radio;when in florence;igorfree;rich oldies;iconing muzak;Melodica antica;Metro Jazz;chez Nata-san;Burghard;All time hit;Putzen;rythmic to me;Bianca chills;pepinos picks;italia;crooner;male vocalists;40s;sing along;male vocals;favorite song;jive;best song;hutch;Retro;jazz piano;perfect;Shit Hot;stuff;classics;cinematic;saxophone,Buona Sera,TRKKRBY12903C94D84
Paul Horn,new ege,East Mitten (World),TRKKRYG128F931761A
Pop Will Eat Itself,grebo;favourite bands and other relavent bits and pieces;Bentley Rhythm Ace;Karma;intergalactic punk rock hip hop;Pop Will Eat Itself;breakbeat;electronic rock;groovy;club;techno;trance;seen live;electronica;indie;alternative;electronic;british;midlands;Galaxy Rangers;life on mars;Runaways;chase;indie crossover,Karmadrome,TRKKRLQ128F92CECE4
Mad Heads,,Timid Guy,TRKKRDT128F9360232
Doubledrive,,11:59 (Album Version),TRKKRST128F4241459
The Pretenders,rock;instrumental;female vocalists,Ramblin' Rob (Denmark Street Demo),TRKKRMA128F428D7E6
Solarium,,Ium,TRKKRKL128F92FC583
Dismantled,industrial;ebm;electro-industrial;Apollyon Dark Electro List;DxSFx;Dismantled - Thanks For Everything;Jodie;favorites ebm electronic;ebm-psytrance;Industrial-electronica;dark electro;darksynth;Electro-Goth;favorite albums;techno-industrial;ebm futurepop;darkwave;Gothic;favorites;futurepop;electronica;synthpop;electronic;psytrance,Thanks For Everything (Album Version),TRKKRMX12903CC546A
Monkey Business,cs rock,Purified Juice,TRKKRVJ128F425AD5C
The Promise Ring,emo;great band - sucky song,Half Year Sun,TRKKROD128F428A97C
Sally Shapiro,pop;remix;how she makes me feel;a good day;3 and a half stars;trancedelic;Ladytronica;neo disco;swooning;Discobelle;tingly;vackert;toppen;Sparkling;Bittersweet;lush;cosmic;Italo Disco;vocoder;Disco;wistful;space;relax;dance;electronic,Miracle (Bogdan Irkük Remix),TRKKRGT128F932578C
Osker,emo;punk rock;put on jenn cds,Disconnect, Disconnect,TRKKRBE128F4262598
Papercuts,,PaleVioleNtEve,TRKKRBY12903CB5DB1
Simon Wynberg,,Sarabande From Suite No 3 For Lute,TRKKRAG128F92CE2AB
Luiz Melodia,mpb;brazilian;sexy;brasil;samba;jazz;smooth;maravilha;porque me ufano deste pais;brasil soft;whereonearthwasit;almetlatino;mybossa;brasil es robertitus;brasileiro;Marcelo Camelo,Pérola Negra,TRKKRPX12903CA452B
Camera Obscura,indie pop;indie;twee;all around the world;cities;must buy;handclaps;Kate;nite out;super cute;Whos Got The Clap;city songs;yay and hooray and yippee and huzzah;Dragonfly kiss your tail;lipstick-moments;a mental popsicle;songs: handclaps;dancing solo 3 am;acoustic;female vocalist;indie rock;happy;beautiful;Scottish;California;2004;indie-pop;lovely;scotland;Sentimental;Camera Obscura;b-side;sweet;SDSmith;fun;short songs for sixelam;Cali baby;friendsofthekingofrummelpop,San Francisco Song,TRKKRCW12903D00908
Laws,,Contract Killer,TRKKRKJ128F4295CFB
King Tubby,,You Won't Dub,TRKKRRT128F9302696
Esham,,Gothom City,TRKKRUG128F9342CE6
Parliament,funk;p-funk;soulnetwork-co-uk;durkadurka;i am a party girl here is my soundtrack;carnival 2006 notting hill;notting hill carnival 2008;Musique de la Ville 1;funk me up;Ts Bad Ass Top Picks;Land of a thousand dances;ruth copeland;fad dances;funk lift off;Soul Stax;funky monkeys;motown;funky,Breakdown,TRKKROR128F932550D
F.L.Y.,,Nothing,TRKKRFR128F93109C2
Edward Sharpe & the Magnetic Zeros,indie folk;folk;indie;whistling;upbeat;happy;Love;summer;alternative;epic;love at first listen;Alt-country;indie rock;home;sunshine;Awesome;sweet;best of 2009;fun as fuck;indie pop;feel good;beautiful;00s;love songs;songs to get drunk and cry to;Gypsy;for the dream highway;dance party;Love it;makes me whip to it;watch the lyric;chris;wheeee;alltime favs by bly;pop tarts;songs i adore;folk rock;duets;female vocalists;blyfav;cute;chaser i;duet;personal favourites;gossip girl;quirky;american;ellias;heartfelt sing out loud;George Ellias;hayfields and sunshine;good walking beat;you need to hear this;edward sharpe and the magnetic zeros;love song;american classic;lovely;o;leg jiggler;If I could have sex with this song I really would;songs that make me happy;pleasant;Makes Me Smile;ALABAMA ARKANSAS;best song ever;male vocalists;Always;whistle;good mood;Favorite;Mellow;everyone high-fiving everyone;reminds me ov CG;yay and hooray and yippee and huzzah;high-fives for everyone all the time always;song i can listen 10 times in a row;What a great song;hot and heavy pumpkin pie;location location location;country;2009;twang;good for the common health;loved;always cheers me up;smile;SPARKS;wedding;moreoften;cup o tea;feel-good;via tv;me and my boo;KEXP Song of the Day;set something ablaze;shiny;anthems;pfeifen pipe clapir vissla;heard it on the teevee;stay as long as you like,Home,TRKKRWQ12903D11313
Ricky Nelson,rockabilly;pop;san francisco;oldies;catchy;50s;Fifties;50's;1950s;Ricky Nelson;Ricky;ricky nelson teenage idol,One of These Mornings,TRKKRGY12903CB2DD0
H2O,,Sacred Heart,TRKKRFR12903CF68E2
Skeewiff,easy listening;lounge;funk;electronic;breaks;breakbeat,Love Me,TRKKRBY12903CDFEDB
June Christy,,Night Time Was My Mother,TRKKRDT128F426A3B9
Levon Helm,,I Ain't Lyin',TRKKRFP128F9326B51
Nico Wayne Toussaint,,Nobody's fault but mine,TRKKRQC128F930FB3F
Metalium,Power metal,Earth in Pain,TRKKRTZ12903CB68F2
Dorothy Norwood,,Hattie B's Daughter Part I,TRKKRPK128F424C471
Khaled,,Andi mehaina,TRKKRLV12903C99F38
Jimmy Hughes,soul;test;Old School soul;i don't know,Why not tonight,TRKKRER128F931FA19
Lady Saw,,Give Me More,TRKKRHS128F423A114
AllFrumTha I,,Tell U Like This,TRKKRLR128F92E178A
Phyllis Nelson,Disco;usa hot dance club play number one hit;80s;dance;Dead;Hi-NRG;DisCompany;Italo Disco;Dance Machine;80s faves;i love disco diamonds;gay pop,I Like You,TRKKRWU128F932CA07
Jon Hassell,trumpet;future jazz;Fusion;trompette;artiste;sound designer;etrange;reverie;puissant;emotionnal;detente;mystik;EIvind Aarset;reve;musique libre;soma fm;cinematik;open space;chillout zone;guitariste;reportage;magyk;Muzyka miejska;David Torn;Rock Progressif;Turn;motion pictures;climax;Cinematique;Guitare;norskt;evolution;motion;electronique;voyage;progressiv;Atmospheres;norwegian jazz;futurist;dark ambiant;jazz world;hyperchill;power jazz;illusion;tronic;jazzland;inventif;evolutif;pictural;futurjazz;progressiv jazz;miasto w deszcz;linie;oddalenie;mentalstate3;tronyk jazz;nocna jazda podmiejskim;eclectic dreaming;the removers;emotiv;thematique;guitar from ecm;b-bazz;emmotionnel;architctures;ambient folk jazz;miles vibe;fripp vibe;Jazz progressif;jon hassel;futur;esprit;futuriste;chilldownthespine;emotionnel;beautiful mood music;comfort zone;cok interesan;climat;nowegian jazz;trump;tronyk;inventiv jazz;open jazz;progessiv jazz;futur jazz;openjazz;imaginativ;imaginatif;zailm atoyanh;complex;guitarist;cinematic;atmospheric;ethereal;melodic;NU;dark;jazz fusion;modern,Abu Gil,TRKKRMX128F92E224E
The Feeling,indie;rock;indie pop;alternative;SPITFYRE;punkd;pop;The Feeling;Mellow;easy listening;soft rock;poppy but nice;british;UK;indie rock;rated 100;one-word titles;british babes;the word any;the word anyone;the word one;Bianca chills;any one;daz;gullygullys;Bepop;britpop;Love;alternative rock;relaxing;Favourites;Brit;lyrics;brit pop;RockPop;Brits;singalong;unknown;2006;story of my life;Soft-Rock;Pop-Variete Etrangere;chill time;Average not heard songs,Anyone,TRKKRRP128F1474B52
Across Five Aprils,,In Photographs (Album Version),TRKKRQB128F426C15B
Department S,1980s;rock;Good Stuff,Romany Blood,TRKKRSY128F4243AF6
Snake Sedrick,,Only one way (Ambient mix),TRKKRCD128F93236E5
Owsley,,Good Old Days (Album Version),TRKKRVK12903CC4FD5
